RE,LABEL,COLOR
ret,            ret,           #696969
br,             br,            #c0c0c0
switch,         switch,        #2f4f4f
indirectbr,     indirectbr,    #556b2f
invoke,         invoke,        #6b8e23
callbr,         callbr,        #a0522d
resume,         resume,        #2e8b57
catchswitch,    catchswitch,   #7f0000
catchret,       catchret,      #191970
cleanupret,     cleanupret,    #808000
unreachable,    unreachable,   #483d8b
fneg,           fneg,          #b22222
add,            add,           #778899
fadd,           fadd,          #008000
sub,            sub,           #3cb371
fsub,           fsub,          #bc8f8f
mul,            mul,           #663399
fmul,           fmul,          #008080
udiv,           udiv,          #bdb76b
sdiv,           sdiv,          #4682b4
fdiv,           fdiv,          #d2691e
urem,           urem,          #9acd32
srem,           srem,          #20b2aa
frem,           frem,          #cd5c5c
shl,            shl,           #00008b
lshr,           lshr,          #4b0082
ashr,           ashr,          #32cd32
and,            and,           #daa520
or,             or,            #8fbc8f
xor,            xor,           #800080
extractelement, extractelement,#b03060
insertelement,  insertelement, #d2b48c
shufflevector,  shufflevector, #66cdaa
extractvalue,   extractvalue,  #9932cc
insertvalue,    insertvalue,   #ff0000
load,           load,          #ff8c00
store,          store,         #ffd700
fence,          fence,         #ffff00
cmpxchg,        cmpxchg,       #c71585
atomicrmw,      atomicrmw,     #0000cd
getelementptr,  getelementptr, #7cfc00
alloca,         alloca,        #00ff00
call,           call,          #ba55d3
phi,            phi,           #00fa9a
trunc,          trunc,         #00ff7f
zext,           zext,          #4169e1
sext,           sext,          #e9967a
fptrunc,        fptrunc,       #dc143c
fpext,          fpext,         #00ffff
fptoui,         fptoui,        #00bfff
fptosi,         fptosi,        #f4a460
uitofp,         uitofp,        #9370db
sitofp,         sitofp,        #0000ff
ptrtoint,       ptrtoint,      #a020f0
inttoptr,       inttoptr,      #adff2f
bitcast,        bitcast,       #ff6347
addrspacecast,  addrspacecast, #d8bfd8
icmp,           icmp,          #ff00ff
fcmp,           fcmp,          #db7093
select,         select,        #eee8aa
freeze,         freeze,        #ffff54
va_arg,         va_arg,        #6495ed
landingpad,     landingpad,    #dda0dd
catchpad,       catchpad,      #b0e0e6
cleanuppad,     cleanuppad,    #ff1493
llvmllvm.\*,    intrinsic,     #ee82ee
\*,             undef,         #ffffff
