RE,LABEL,COLOR
(ret)|(br)|(switch)|(indirectbr)|(invoke)|(callbr)|(resume)|(catchswitch)|(catchret)|(cleanupret)|(unreachable),terminator,#76d7c4
fneg,other,#aed6f1 
(add)|(fadd)|(sub)|(fsub)|(mul)|(fmul)|(udiv)|(sdiv)|(fdiv)|(urem)|(srem)|(frem),other,#aed6f1 
shl|lshr|ashr|and|or|xor,other,#aed6f1 
load,load,#eb984e
store,store,#ec7063 
extractelement|insertelement|shufflevector,other,#aed6f1 
extractvalue|insertvalue,other,#aed6f1 
fence|cmpxchg|atomicrmw|getelementptr|alloca,memory,#f7dc6f
call,call,#bb8fce 
phi,other,#aed6f1 
trunc|zext|sext|fptrunc|fpext|fptoui|fptosi|uitofp|sitofp|ptrtoint|inttoptr|bitcast|addrspacecast,other,#aed6f1 
icmp,other,#aed6f1 
fcmp,other,#aed6f1 
select,other,#aed6f1 
freeze,other,#aed6f1 
va_arg,other,#aed6f1 
landingpad,other,#aed6f1 
catchpad,other,#aed6f1 
cleanuppad,other,#aed6f1 
llvm.\*,intrinstic,#b3b6b7
\*,undef,#ffffff
