File1;File2;jacc1;jacc2
incr1-trie.dot;incr2-trie.dot;0.5;1.0
somma_tre1-trie.dot;somma_tre2-trie.dot;0.3826086956521739;0.6197183098591549
somma_tre_float1-trie.dot;somma_tre_float2-trie.dot;0.39166666666666666;0.6438356164383562
somma_3/somma_tre1-trie.dot;somma_3_float/somma_tre_float1-trie.dot;0.14728682170542637;0.17272727272727273
hello-world-c-trie.dot;hello-world-cpp-trie.dot;0.24;0.3157894736842105
for_for_sum_sub1-trie.dot;for_for_sum_sub2-trie.dot;0.47202797202797203;0.8940397350993378
as1-trie.dot;as2-trie.dot;0.47959183673469385;0.9215686274509803
matrix_1_1-trie.dot;matrix_1_2-trie.dot;0.47333333333333333;0.8987341772151899
matrix_1_1-trie.dot;matrix_1_3-trie.dot;0.5;1.0
matrix_1_2-trie.dot;matrix_1_3-trie.dot;0.47333333333333333;0.8987341772151899
matrix_1_1-trie.dot;matrix_1_4-trie.dot;0.39555555555555555;0.6544117647058824
array_swap_1-trie.dot;array_swap_2-trie.dot;0.49137931034482757;0.9661016949152542
matrix_2_1-trie.dot;matrix_2_2-trie.dot;0.37799043062200954;0.6076923076923076
Sergio_DAPRETTO_218_cifrario-trie.dot;Vase_PETROV_219_Cifrario-trie.dot;0.3778080326752893;0.6072210065645515
Nicolo_MANCA_287_cifrario-trie.dot;Riccardo_GASPARINI_214_CifrarioGasparini-trie.dot;0.3640836408364084;0.5725338491295938
Nicolo_MANCA_287_cifrario-trie.dot;Paolo_IANNOTTA_123_main-trie.dot;0.32068543451652387;0.4720720720720721
